date,product,region,quantity,unit_price,revenue,salesperson_id
2024-01-03,Widget Pro,North,45,29.99,1349.55,S001
2024-01-05,Widget Basic,South,120,9.99,1198.80,S002
2024-01-07,Gadget Plus,East,22,79.99,1759.78,S003
2024-01-09,Widget Pro,West,38,29.99,1139.62,S001
2024-01-12,Gadget Plus,North,15,79.99,1199.85,S004
2024-01-15,Widget Basic,East,200,9.99,1998.00,S002
2024-01-18,Widget Pro,South,55,29.99,1649.45,S005
2024-01-20,Gadget Plus,West,30,79.99,2399.70,S003
2024-01-22,Premium Suite,North,8,249.99,1999.92,S004
2024-01-25,Widget Basic,West,175,9.99,1748.25,S001
2024-02-01,Widget Pro,North,62,29.99,1859.38,S001
2024-02-04,Gadget Plus,South,27,79.99,2159.73,S005
2024-02-06,Premium Suite,East,12,249.99,2999.88,S004
2024-02-09,Widget Basic,North,220,9.99,2197.80,S002
2024-02-12,Widget Pro,West,48,29.99,1439.52,S003
2024-02-15,Gadget Plus,North,35,79.99,2799.65,S001
2024-02-18,Premium Suite,South,6,249.99,1499.94,S005
2024-02-20,Widget Basic,West,180,9.99,1798.20,S002
2024-02-22,Widget Pro,East,71,29.99,2129.29,S003
2024-02-26,Gadget Plus,West,40,79.99,3199.60,S004
2024-03-01,Widget Pro,North,58,29.99,1739.42,S001
2024-03-04,Widget Basic,South,195,9.99,1948.05,S002
2024-03-07,Premium Suite,North,18,249.99,4499.82,S004
2024-03-10,Gadget Plus,East,32,79.99,2559.68,S003
2024-03-13,Widget Pro,West,44,29.99,1319.56,S005
2024-03-16,Widget Basic,East,210,9.99,2097.90,S002
2024-03-19,Gadget Plus,South,28,79.99,2239.72,S001
2024-03-22,Premium Suite,West,14,249.99,3499.86,S004
2024-03-25,Widget Pro,South,66,29.99,1979.34,S003
2024-03-28,Widget Basic,North,240,9.99,2397.60,S005
